Data,Descrição,Categoria,Tipo,Valor
2025-06-02,Faculdade FIAP,Educação,Despesa,720.0
2025-06-02,Fatura Cartão de Crédito de Maio,Cartão de Crédito,Despesa,2410.57
2025-06-02,Pós FIAP,Educação,Despesa,559.14
2025-06-02,Plano de Saúde,Saúde,Despesa,1043.45
2025-06-02,FGV,Educação,Despesa,977.04
2025-06-03,Tesouro Selic,Investimentos,Despesa,165.75
2025-06-03,Coca no Trabalho,Alimentação,Despesa,1.5
2025-06-04,Monster no Trabalho,Alimentação,Despesa,4.0
2025-06-04,Freela,Outros Recebimentos,Receita,500.0
2025-06-04,Presenta Marina,Transferências Enviadas,Despesa,75.0
2025-06-05,Coca no Trab,Alimentação,Despesa,1.5
2025-06-06,Salário,Salário,Receita,4243.79
2025-06-06,Mac,Lazer & Diversão,Despesa,200.0
2025-06-06,Aluguel,Moradia,Despesa,3774.63
2025-06-06,Pós FIAP,Educação,Despesa,545.0
2025-06-06,Coca no Trab,Alimentação,Despesa,1.5
2025-06-06,Vape,Lazer & Diversão,Despesa,22.5
2025-06-07,Tim,Comunicação,Despesa,45.99
2025-06-07,Monster no Trab,Alimentação,Despesa,4.0
2025-06-10,Mac,Lazer & Diversão,Despesa,150.0
2025-06-10,Monster no trab,Alimentação,Despesa,4.0
2025-06-11,Coca e monster no trab,Alimentação,Despesa,5.5
2025-06-12,Freela,Outros Recebimentos,Receita,350.0
2025-06-12,Coca e monster no trab,Alimentação,Despesa,5.5
2025-06-12,Pagamento 2 prova FGD,Educação,Despesa,145.0
2025-06-13,Trufa no trabalho,Alimentação,Despesa,8.0
2025-06-13,Coca e monster no trabalho,Alimentação,Despesa,5.5
2025-06-13,Compra débito,Alimentação,Despesa,19.42
2025-06-13,Monster e coca no trab,Alimentação,Despesa,5.5
2025-06-17,Monster e coca no trab,Alimentação,Despesa,5.5
2025-06-17,Mac,Lazer & Diversão,Despesa,150.0
2025-06-20,Foto polaroid,Lazer & Diversão,Despesa,25.0
2025-06-21,Tapioca no trab,Alimentação,Despesa,10.21
2025-06-27,Pagamento do Celular,Venda de Bens,Receita,200.0
2025-06-27,Mac,Lazer & Diversão,Despesa,50.0
2025-06-27,Mcdonalds,Alimentação,Despesa,52.9
2025-06-28,Mesada,Mesada,Receita,6000.0
